,0
1587,TX
1588,PA
1589,PA
1590,AZ
1591,NJ
1592,FL
1593,TX
1594,NV
1595,TX
1596,NJ
1597,PA
1598,OH
1599,IN
1600,CA
1601,OK
1602,TX
1603,AZ
1604,PA
1605,AL
1606,IN
1607,TX
1608,CA
1609,TX
1610,AZ
1611,NY
1612,GA
1613,NC
1614,AZ
1615,TX
1616,CO
1617,MI
1618,TX
1619,PA
1620,AZ
1621,FL
1622,NC
1623,TX
1624,TX
1625,MA
1626,PA
1627,TX
1628,CA
1629,OH
1630,TX
1631,TN
1632,NV
1633,TN
1634,SC
1635,NY
1636,PA
1637,PA
1638,MD
1639,SC
1640,TX
1641,KS
1642,NJ
1643,CA
1644,LA
1645,NM
1646,MN
1647,MA
1648,TX
1649,UT
1650,TX
1651,CA
1652,TX
1653,TX
1654,GA
1655,WI
1656,FL
1657,TX
1658,AZ
1659,OK
1660,OK
1661,CA
1662,FL
1663,TX
1664,TN
1665,CA
1666,FL
1667,TX
1668,CA
1669,WI
1670,TX
1671,TX
1672,CA
1673,NY
1674,MD
1675,IL
1676,NM
1677,AZ
1678,WA
1679,AZ
1680,NV
1681,TX
1682,ID
1683,ID
1684,PA
1685,AZ
1686,WA
1687,AZ
1688,MA
1689,GA
1690,TX
1691,CA
1692,NY
1693,CA
1694,CO
1695,MA
1696,OK
1697,CA
1698,TX
1699,KY
1700,TX
1701,CO
1702,CO
1703,IL
1704,MO
1705,NJ
1706,IL
1707,NY
1708,IL
1709,FL
1710,OH
1711,IL
1712,TX
1713,GA
1714,CA
1715,IL
1716,NJ
1717,OK
1718,VA
1719,OH
1720,CO
1721,CO
1722,TX
1723,TX
1724,IL
1725,VA
1726,CA
1727,MD
1728,NJ
1729,GA
1730,ID
1731,PA
1732,NV
1733,TX
1734,AK
1735,NY
1736,NC
1737,TX
1738,TX
1739,TN
1740,AL
1741,NJ
1742,CA
1743,GA
1744,CA
1745,NJ
1746,PA
1747,VT
1748,WI
1749,CA
1750,FL
1751,CA
1752,FL
1753,FL
1754,TX
1755,AL
1756,TX
1757,TX
1758,TX
1759,TX
1760,CA
1761,GA
1762,NC
